Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Justin Abdelkader,DET,LW,71,6,13,19,38,95,185,34
Pontus Aberg,TOR,LW,59,12,13,25,20,101,45,11
Vitali Abramov,OTT,RW,1,0,0,0,0,0,0,1
Noel Acciari,FLA,C,72,6,8,14,47,99,221,36
Kenny Agostino,TOR,LW,63,6,18,24,34,79,143,14
Andrew Agozzino,PIT,LW,11,1,1,2,0,11,14,3
Sebastian Aho,CAR,LW,82,30,53,83,26,243,65,34
Mark Alt,COL,D,2,0,0,0,0,2,0,2
Karl Alzner,MON,D,9,0,1,1,2,8,13,10
Michael Amadio,LA,C,43,6,7,13,6,37,16,13
Joey Anderson,NJ,RW,34,4,3,7,6,49,42,11
Josh Anderson,CLS,RW,82,27,20,47,60,230,214,40
Jaret Anderson-Dolan,LA,C,5,0,1,1,0,6,5,2
Lias Andersson,NYR,LW,42,2,4,6,29,41,60,8
Rasmus Andersson,CGY,D,79,2,17,19,23,115,52,83
Sven Andrighetto,FA,RW,64,7,10,17,14,95,29,32
Artem Anisimov,OTT,C,78,15,22,37,14,142,25,33
Mason Appleton,WPG,C,36,3,7,10,4,29,28,12
Darren Archibald,FA,LW,12,1,1,2,12,10,10,4
Josh Archibald,EDM,RW,68,12,10,22,15,92,161,39
Joel Armia,MON,RW,57,13,10,23,14,134,113,21
Viktor Arvidsson,NSH,LW,58,34,14,48,26,195,18,23
Zach Aston-Reese,PIT,C,43,8,9,17,26,76,138,37
Andreas Athanasiou,DET,C,76,30,24,54,38,216,33,26
Cam Atkinson,CLS,RW,80,41,28,69,20,295,27,25
Nicolas Aube-Kubel,PHI,C,9,0,0,0,0,2,14,0
David Backes,BOS,RW,70,7,13,20,31,129,140,30
Mikael Backlund,CGY,C,77,21,26,47,52,205,52,26
Nicklas Backstrom,WAS,C,80,22,52,74,30,169,54,30
Sven Baertschi,VAN,LW,26,9,5,14,6,43,18,13
Josh Bailey,NYI,LW,82,16,40,56,21,126,19,32
Justin Bailey,VAN,RW,11,0,1,1,2,5,9,5
Rudolfs Balcers,OTT,LW,36,5,9,14,10,48,18,24
Ivan Barbashev,STL,LW,80,14,12,26,17,60,86,31
Mark Barberio,COL,D,12,1,0,1,4,11,13,14
Aleksander Barkov,FLA,C,82,35,61,96,8,206,28,61
Tyson Barrie,TOR,D,78,14,45,59,36,218,48,93
Matt Bartkowski,MIN,D,2,1,0,1,0,2,1,1
Mathew Barzal,NYI,C,82,18,44,62,46,179,25,56
Nathan Bastian,NJ,RW,7,3,0,3,10,13,24,1
Drake Batherson,OTT,RW,20,3,6,9,6,18,17,21
Gavin Bayreuther,DAL,D,19,2,3,5,10,25,11,19
Jay Beagle,VAN,C,57,3,10,13,18,45,102,33
Jake Bean,CAR,D,2,0,0,0,2,1,1,0
Nathan Beaulieu,WPG,D,48,3,9,12,39,60,60,42
Anthony Beauvillier,NYI,LW,81,18,10,28,8,156,87,35
Matt Beleskey,NYR,LW,4,1,0,1,5,3,7,1
Pierre-Edouard Bellemare,COL,C,76,6,9,15,6,108,71,51
Louis Belpedio,MIN,D,2,0,0,0,0,0,1,4
Jamie Benn,DAL,C,78,27,26,53,56,189,142,71
Jordie Benn,VAN,D,81,5,17,22,39,93,124,128
Sam Bennett,CGY,LW,71,13,14,27,93,115,121,27
Matt Benning,EDM,D,70,5,12,17,33,94,109,59
Patrice Bergeron,BOS,C,65,32,47,79,30,205,43,60
Patrik Berglund,FA,C,23,2,2,4,6,25,25,16
Tyler Bertuzzi,DET,LW,73,21,26,47,36,131,76,39
Alex Biega,VAN,D,41,2,14,16,22,91,101,43
Clark Bishop,CAR,C,20,1,2,3,6,16,39,5
Anthony Bitetto,WPG,D,36,0,3,3,12,30,80,36
Anders Bjork,BOS,C,20,1,2,3,2,18,9,12
Oliver Bjorkstrand,CLS,RW,77,23,13,36,8,161,43,34
Nick Bjugstad,PIT,C,64,14,12,26,30,154,126,27
Colin Blackwell,NSH,C,6,0,0,0,2,5,10,3
Samuel Blais,STL,LW,32,2,2,4,6,27,93,12
Joseph Blandisi,PIT,C,9,0,0,0,6,8,10,1
Anton Blidh,BOS,LW,1,0,0,0,0,0,6,1
Teddy Blueger,PIT,C,28,6,4,10,15,33,52,14
Mikkel Boedker,OTT,LW,71,7,28,35,6,88,54,28
Brock Boeser,VAN,RW,69,26,30,56,22,209,14,22
Zach Bogosian,BUF,D,65,3,16,19,52,93,83,116
Nick Bonino,NSH,C,81,17,18,35,18,118,24,70
Will Borgen,BUF,D,4,0,0,0,0,2,12,3
Henrik Borgstrom,FLA,C,50,8,10,18,4,54,11,12
Mark Borowiecki,OTT,D,53,1,4,5,89,59,212,93
Robert Bortuzzo,STL,D,59,2,8,10,47,75,95,72
Evan Bouchard,EDM,D,7,1,0,1,2,10,6,8
Reid Boucher,VAN,RW,1,0,0,0,0,0,1,0
Gabriel Bourque,WPG,LW,55,2,6,8,10,34,100,48
Jay Bouwmeester,STL,D,78,3,14,17,40,82,61,127
Madison Bowey,DET,D,50,2,8,10,46,48,72,63
Johnny Boychuk,NYI,D,74,3,16,19,25,157,144,120
Travis Boyd,WAS,C,53,5,15,20,6,35,13,21
Brian Boyle,FA,C,73,18,6,24,38,123,145,50
Tyler Bozak,STL,C,72,13,25,38,20,141,52,33
Erik Brannstrom,OTT,D,2,0,0,0,0,0,1,1
Derick Brassard,NYI,C,70,14,9,23,39,110,102,15
Jesper Bratt,NJ,LW,51,8,25,33,6,91,36,22
Justin Braun,PHI,D,78,2,14,16,35,105,121,120
Connor Brickley,FA,C,14,1,3,4,9,18,35,6
Daniel Brickley,LA,D,4,0,1,1,0,2,5,4
Guillaume Brisebois,VAN,D,8,0,0,0,0,5,3,7
T.J. Brodie,CGY,D,79,9,25,34,24,102,21,86
Jonas Brodin,MIN,D,82,4,14,18,30,111,61,135
Kyle Brodziak,EDM,C,70,6,3,9,33,74,92,46
Jonny Brodzinski,SJ,RW,13,2,1,3,2,17,23,7
Troy Brouwer,FLA,RW,75,12,9,21,47,86,177,38
Connor Brown,OTT,RW,82,8,21,29,16,85,35,37
Dustin Brown,LA,RW,72,22,29,51,24,180,150,29
J.T. Brown,MIN,RW,56,3,5,8,29,56,99,16
Josh Brown,FLA,D,37,1,1,2,28,28,80,31
Logan Brown,OTT,C,2,0,0,0,0,2,0,1
Pavel Buchnevich,NYR,LW,64,21,17,38,13,119,60,20
Michael Bunting,ARI,LW,5,1,0,1,2,5,6,1
Andre Burakovsky,COL,LW,76,12,13,25,14,100,35,29
Erik Burgdoerfer,WAS,D,4,0,0,0,2,2,16,0
Brent Burns,SJ,D,82,16,67,83,34,300,90,105
Will Butcher,NJ,D,78,4,26,30,18,108,38,74
Chris Butler,FA,D,13,1,1,2,0,10,17,17
Dustin Byfuglien,WPG,D,42,4,27,31,69,115,77,51
Paul Byron,MON,C,56,15,16,31,17,94,114,36
Drake Caggiula,CHI,LW,55,12,11,23,28,96,135,26
Ryan Callahan,OTT,RW,52,7,10,17,14,76,89,25
Matt Calvert,COL,LW,82,11,15,26,58,141,115,51
Kyle Capobianco,ARI,D,2,0,0,0,0,1,2,2
Paul Carey,BOS,RW,7,0,0,0,0,4,3,3
Brandon Carlo,BOS,D,72,2,8,10,47,116,134,88
John Carlson,WAS,D,80,13,57,70,34,185,54,164
Gabriel Carlsson,CLS,D,1,0,0,0,2,1,0,0
Ryan Carpenter,CHI,C,68,5,13,18,8,102,126,17
Daniel Carr,NSH,LW,6,1,0,1,0,11,9,3
Connor Carrick,NJ,D,34,2,9,11,19,42,25,37
Sam Carrick,ANH,C,6,0,1,1,2,5,15,2
Trevor Carrick,SJ,D,1,0,0,0,5,0,1,1
William Carrier,VGK,LW,54,8,1,9,29,85,277,13
Jeff Carter,LA,C,76,13,20,33,42,174,80,30
Colby Cave,EDM,C,53,3,5,8,16,58,73,18
Cody Ceci,TOR,D,74,7,19,26,18,132,120,142
Peter Cehlarik,BOS,C,20,4,2,6,6,30,5,7
Erik Cernak,TB,D,58,5,11,16,58,107,198,79
Thomas Chabot,OTT,D,70,14,41,55,32,185,71,112
Michael Chaput,ARI,C,32,0,5,5,14,31,53,17
Zdeno Chara,BOS,D,62,5,9,14,57,99,81,88
Rourke Chartier,FA,C,13,1,0,1,2,19,14,3
Jake Chelios,FA,D,5,0,0,0,2,5,7,5
Ben Chiarot,MON,D,78,5,15,20,62,111,171,139
Alex Chiasson,EDM,RW,73,22,16,38,32,123,85,31
Filip Chlapik,OTT,C,5,1,0,1,4,9,1,4
Dennis Cholowski,DET,D,52,7,9,16,16,71,18,50
Jakob Chychrun,ARI,D,53,5,15,20,28,117,74,77
Filip Chytil,NYR,C,75,11,12,23,8,133,29,21
Anthony Cirelli,TB,C,82,19,20,39,34,123,94,49
Casey Cizikas,NYI,C,73,20,13,33,36,111,129,68
Fredrik Claesson,FA,D,37,2,4,6,9,44,76,33
Adam Clendening,CLS,D,4,0,0,0,0,3,1,3
Kyle Clifford,LA,LW,72,11,10,21,96,115,115,24
Connor Clifton,BOS,D,19,0,1,1,15,22,40,13
Cal Clutterbuck,NYI,RW,73,8,15,23,44,95,209,40
Braydon Coburn,TB,D,74,4,19,23,34,113,96,62
Andrew Cogliano,DAL,LW,78,6,11,17,22,106,68,32
Ian Cole,COL,D,71,2,13,15,115,82,107,178
Blake Coleman,NJ,C,78,22,14,36,71,213,225,44
Michael Dal Colle,NYI,LW,28,3,4,7,2,34,10,8
Blake Comeau,DAL,LW,77,7,11,18,42,102,208,40
J.T. Compher,COL,C,66,16,16,32,31,118,33,59
Maxime Comtois,ANH,LW,10,2,5,7,7,9,27,3
Cory Conacher,TB,LW,1,0,0,0,2,1,0,0
Erik Condra,COL,RW,6,1,0,1,2,10,3,1
